,smart_institution3,smart_institution2,count,total_count,smart_institution4
315,Emergency & Critical Care Medicine,Emergency & Critical Care Medicine,1,1,
314,Elmhurst Hospital Center,Elmhurst Hospital Center,1,1,
313,Elective Medical Student,Elective Medical Student,1,1,
312,Einstein Medical Center Philadelphia,Einstein Medical Center Philadelphia,1,1,
309,Edward Via College Of Osteopathic Medicine,Edward Via College Of Osteopathic Medicine,1,1,
307,Eastern Regional Hospital,Eastern Regional Hospital,1,1,
305,East Texas Medical Center,East Texas Medical Center,1,1,
303,East Tennessee State University - Quillen College Of Medicine,East Tennessee State University - Quillen College Of Medicine,1,1,
301,East Tennesse State University,East Tennesse State University,1,1,
300,East Hospital,East Hospital,1,1,
298,East Carolina University,East Carolina University,1,1,
297,Durham Veterans Affairs Medical Center,Durham Veterans Affairs Medical Center,1,1,
296,Durban Unniversity Of Technology,Durban Unniversity Of Technology,1,1,
292,Duke Children'S Health Center,Duke Children'S Health Center,1,1,
285,Dorrington Medical Associates,Dorrington Medical Associates,1,1,
281,Divisions Of Pediatric Surgery And Surgical Research,Divisions Of Pediatric Surgery And Surgical Research,1,1,
279,Division Of Child And Adolescent Health,Division Of Child And Adolescent Health,1,1,
278,Division Of Cardiac Surgery,Division Of Cardiac Surgery,1,1,
275,Derby Hospitals Nhs Foundation Trust,Derby Hospitals Nhs Foundation Trust,1,1,
274,Dept. Of Otorhinolaryngology,Dept. Of Otorhinolaryngology,1,1,
270,Department Of Pediatric Surgery,Department Of Pediatric Surgery,1,1,
269,Department Of Hepatobiliary Surgery And Institute Of Advanced Surgical Technology And Engineering,Department Of Hepatobiliary Surgery And Institute Of Advanced Surgical Technology And Engineering,1,1,
268,Department Of Epidemiology,Department Of Epidemiology,1,1,
265,Denis And Lenora Foretia Foundation,Denis And Lenora Foretia Foundation,1,1,
263,Dayanand Medical College & Hospital,Dayanand Medical College & Hospital,1,1,
259,Data Science Center For The Study Of Surgery,Data Science Center For The Study Of Surgery,1,1,
248,Darlington Memorial Hospital,Darlington Memorial Hospital,1,1,
247,Dana Farber Cancer Insititute,Dana Farber Cancer Insititute,1,1,
246,Dalhousie University,Dalhousie University,1,1,
245,Cuny School Of Medicine,Cuny School Of Medicine,1,1,
242,Crozer Health,Crozer Health,1,1,
240,Crown Princess Mary Cancer Centre,Crown Princess Mary Cancer Centre,1,1,
227,Columbia University Irving Medical Center,Columbia University Irving Medical Center,1,1,
222,Cmc Hospital,Cmc Hospital,1,1,
217,City Of Hope Comprehensive Cancer Center,City Of Hope Comprehensive Cancer Center,1,1,
216,Cincinnati Childrens'S Hospital Medical Center,Cincinnati Childrens'S Hospital Medical Center,1,1,
215,Cincinnati Childrens Hospital And Medical Center,Cincinnati Childrens Hospital And Medical Center,1,1,
214,Cincinnati Children'S Hospital Medical Center (Cchmc),Cincinnati Children'S Hospital Medical Center (Cchmc),1,1,
212,Cinch Valley Medical Center,Cinch Valley Medical Center,1,1,
210,Christian Medical College,Christian Medical College,1,1,
209,Chop Center For Fetal Research,Chop Center For Fetal Research,1,1,
208,Chittagong Medical College Hospital,Chittagong Medical College Hospital,1,1,
207,Childrens Hospital Of Philadelphia Research Institute,Childrens Hospital Of Philadelphia Research Institute,1,1,
206,Childrens Hospital Colorado/University Of Colorado School Of Medicine,Childrens Hospital Colorado/University Of Colorado School Of Medicine,1,1,Children'S Hospital Colorado
202,Children'S National Health System,Children'S National Health System,1,1,
200,Children'S Mercy Hospital-University Of Missouri Kansas City,Children'S Mercy Hospital-University Of Missouri Kansas City,1,1,
193,Children'S Mercy Hospital And Clinics,Children'S Mercy Hospital And Clinics,1,1,
187,Children'S Medical Center Dallas,Children'S Medical Center Dallas,1,1,
181,Children'S Hospital Of Pittsburgh,Children'S Hospital Of Pittsburgh,1,1,Children'S Hospital Of Pittsburgh Of Upmc
179,Children'S Hospital Of Michigan,Children'S Hospital Of Michigan,1,1,
177,Children'S Hospital Los Angeles/The Saban Research Institute,Children'S Hospital Los Angeles/The Saban Research Institute,1,1,
171,Children'S Hospital At Oklahoma University Medicine,Children'S Hospital At Oklahoma University Medicine,1,1,
170,Children'S Health,Children'S Health,1,1,
169,Children Mercy'S Hospital,Children Mercy'S Hospital,1,1,
164,Chelsea And Westminster Hospital Nhs Trust,Chelsea And Westminster Hospital Nhs Trust,1,1,
161,Chang Gung Memorial Hospital,Chang Gung Memorial Hospital,1,1,
160,Chandler Regional Medical Center,Chandler Regional Medical Center,1,1,
159,Centro Mtdico Abc,Centro Mtdico Abc,1,1,
158,Centre Hospitalier De L'Universit De Montral,Centre Hospitalier De L'Universit De Montral,1,1,
157,Centre For Research On The Epidemiology Of Disasters -  Universitt Catholique De Louvain,Centre For Research On The Epidemiology Of Disasters -  Universitt Catholique De Louvain,1,1,
156,Centre For Biomedical Technologies,Centre For Biomedical Technologies,1,1,
153,Center Of Advanced Surgical Oncology,Center Of Advanced Surgical Oncology,1,1,
149,Center For Perinatal Research,Center For Perinatal Research,1,1,
148,Center For Innovations In Quality,Center For Innovations In Quality,1,1,
147,Center For Healthcare Outcomes & Policy (Chop),Center For Healthcare Outcomes & Policy (Chop),1,1,
146,Center For Global Surgical Studies,Center For Global Surgical Studies,1,1,
144,Center For Fetal And Placental Research,Center For Fetal And Placental Research,1,1,
136,Carnegie Mellon University,Carnegie Mellon University,1,1,
135,Carle Illinois College Of Medicine,Carle Illinois College Of Medicine,1,1,
134,Carle Foundation Hospital,Carle Foundation Hospital,1,1,
128,California Northstate Unversity,California Northstate Unversity,1,1,
125,C.S.Mott Children'S Hospital,C.S.Mott Children'S Hospital,1,1,
124,C.S. Mott Children'S Hospital,C.S. Mott Children'S Hospital,1,1,
123,Burnett School Of Medicine At Tcu,Burnett School Of Medicine At Tcu,1,1,
116,Brooklyn Hospital Center,Brooklyn Hospital Center,1,1,
114,Bronx- Lebanon Hospital Center,Bronx- Lebanon Hospital Center,1,1,
113,Bronx Care (Lebanon) Hospital,Bronx Care (Lebanon) Hospital,1,1,
112,Brigham Young University,Brigham Young University,1,1,
105,Brandenburg Medical School,Brandenburg Medical School,1,1,
104,Boulder Community Health,Boulder Community Health,1,1,
94,Birmingham Va Medical Center,Birmingham Va Medical Center,1,1,
93,Bidmc,Bidmc,1,1,
92,Bethany Kids At Aic Kijabe Hospital,Bethany Kids At Aic Kijabe Hospital,1,1,
91,Beth Israel Lahey Hospital,Beth Israel Lahey Hospital,1,1,
82,Baylor Univeristy Medical Center,Baylor Univeristy Medical Center,1,1,Baylor College Of Medicine
81,Baylor Scott & White Health,Baylor Scott & White Health,1,1,
70,Banner University Medical Center- Phoenix,Banner University Medical Center- Phoenix,1,1,
69,Banner University Medical Center - Tucson - Banner Health,Banner University Medical Center - Tucson - Banner Health,1,1,
61,Ascension St. Vincent Hospital,Ascension St. Vincent Hospital,1,1,
58,Asahi General Hospital,Asahi General Hospital,1,1,
55,Antiguo Hospital Civil De Guadalajara,Antiguo Hospital Civil De Guadalajara,1,1,
54,Anne Marion Burnett School Of Medicine At Texas Christian University,Anne Marion Burnett School Of Medicine At Texas Christian University,1,1,
52,Ann Arbor Va Healthcare System,Ann Arbor Va Healthcare System,1,1,
43,Ann & Robert H Lurie Children'S,Ann & Robert H Lurie Children'S,1,1,
42,Ankara Yildirim Beyazit University,Ankara Yildirim Beyazit University,1,1,
40,American Board Of Surgery,American Board Of Surgery,1,1,
39,Allies For Health,Allies For Health,1,1,
34,Alfred Health,Alfred Health,1,1,
24,Alabama College Of Osteopathic Medicine,Alabama College Of Osteopathic Medicine,1,1,
23,Akron General Medical Center,Akron General Medical Center,1,1,
22,Aichi Cancer Center,Aichi Cancer Center,1,1,
17,Affiliated Zhongda Hospital,Affiliated Zhongda Hospital,1,1,
16,Advocate Lutheran General Hospital,Advocate Lutheran General Hospital,1,1,
12,Adventhealth Cancer Institute,Adventhealth Cancer Institute,1,1,
9,Academic Medical Center,Academic Medical Center,1,1,
2,Abilene Christian University,Abilene Christian University,1,1,
1,Aberdeen Royal Infirmary,Aberdeen Royal Infirmary,1,1,
0,A.T. Still University,A.T. Still University,1,1,
